"Notes"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Year of Death"	"Year of Death Code"	Deaths	Births	Death Rate
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"2003"	"2003"	Suppressed	399	Suppressed
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"2004"	"2004"	Suppressed	492	Suppressed
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"2005"	"2005"	Suppressed	553	Suppressed
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"2006"	"2006"	Suppressed	631	Suppressed
	"Jefferson County, AL"	"01073"	"Puerto Rican"	"2180-8"	"2003"	"2003"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Puerto Rican"	"2180-8"	"2004"	"2004"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Puerto Rican"	"2180-8"	"2005"	"2005"	Suppressed	15	Suppressed
	"Jefferson County, AL"	"01073"	"Puerto Rican"	"2180-8"	"2006"	"2006"	Suppressed	18	Suppressed
	"Jefferson County, AL"	"01073"	"Cuban"	"2182-4"	"2003"	"2003"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Cuban"	"2182-4"	"2004"	"2004"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Cuban"	"2182-4"	"2005"	"2005"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Cuban"	"2182-4"	"2006"	"2006"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Central or South American"	"4"	"2003"	"2003"	Suppressed	43	Suppressed
	"Jefferson County, AL"	"01073"	"Central or South American"	"4"	"2004"	"2004"	Suppressed	46	Suppressed
	"Jefferson County, AL"	"01073"	"Central or South American"	"4"	"2005"	"2005"	Suppressed	58	Suppressed
	"Jefferson County, AL"	"01073"	"Central or South American"	"4"	"2006"	"2006"	Suppressed	101	Suppressed
	"Jefferson County, AL"	"01073"	"Non-Hispanic White"	"6"	"2003"	"2003"	31	4310	7.19
	"Jefferson County, AL"	"01073"	"Non-Hispanic White"	"6"	"2004"	"2004"	21	4229	4.97
	"Jefferson County, AL"	"01073"	"Non-Hispanic White"	"6"	"2005"	"2005"	28	4075	6.87
	"Jefferson County, AL"	"01073"	"Non-Hispanic White"	"6"	"2006"	"2006"	25	4238	5.90
	"Jefferson County, AL"	"01073"	"Non-Hispanic Black"	"7"	"2003"	"2003"	60	4149	14.46
	"Jefferson County, AL"	"01073"	"Non-Hispanic Black"	"7"	"2004"	"2004"	68	4190	16.23
	"Jefferson County, AL"	"01073"	"Non-Hispanic Black"	"7"	"2005"	"2005"	73	4140	17.63
	"Jefferson County, AL"	"01073"	"Non-Hispanic Black"	"7"	"2006"	"2006"	76	4489	16.93
	"Madison County, AL"	"01089"	"Mexican"	"2148-5"	"2003"	"2003"	Suppressed	82	Suppressed
	"Madison County, AL"	"01089"	"Mexican"	"2148-5"	"2004"	"2004"	Suppressed	156	Suppressed
	"Madison County, AL"	"01089"	"Mexican"	"2148-5"	"2005"	"2005"	Suppressed	217	Suppressed
	"Madison County, AL"	"01089"	"Mexican"	"2148-5"	"2006"	"2006"	Suppressed	251	Suppressed
	"Madison County, AL"	"01089"	"Puerto Rican"	"2180-8"	"2003"	"2003"	Suppressed	10	Suppressed
	"Madison County, AL"	"01089"	"Puerto Rican"	"2180-8"	"2004"	"2004"	Suppressed	18	Suppressed
	"Madison County, AL"	"01089"	"Puerto Rican"	"2180-8"	"2005"	"2005"	Suppressed	16	Suppressed
	"Madison County, AL"	"01089"	"Puerto Rican"	"2180-8"	"2006"	"2006"	Suppressed	19	Suppressed
	"Madison County, AL"	"01089"	"Cuban"	"2182-4"	"2003"	"2003"	Suppressed	Suppressed	Suppressed
	"Madison County, AL"	"01089"	"Cuban"	"2182-4"	"2004"	"2004"	Suppressed	Suppressed	Suppressed
	"Madison County, AL"	"01089"	"Cuban"	"2182-4"	"2005"	"2005"	Suppressed	Suppressed	Suppressed
	"Madison County, AL"	"01089"	"Cuban"	"2182-4"	"2006"	"2006"	Suppressed	Suppressed	Suppressed
	"Madison County, AL"	"01089"	"Central or South American"	"4"	"2003"	"2003"	Suppressed	15	Suppressed
	"Madison County, AL"	"01089"	"Central or South American"	"4"	"2004"	"2004"	Suppressed	11	Suppressed
	"Madison County, AL"	"01089"	"Central or South American"	"4"	"2005"	"2005"	Suppressed	14	Suppressed
	"Madison County, AL"	"01089"	"Central or South American"	"4"	"2006"	"2006"	Suppressed	27	Suppressed
	"Madison County, AL"	"01089"	"Non-Hispanic White"	"6"	"2003"	"2003"	10	2358	4.24 (Unreliable)
	"Madison County, AL"	"01089"	"Non-Hispanic White"	"6"	"2004"	"2004"	18	2324	7.75 (Unreliable)
	"Madison County, AL"	"01089"	"Non-Hispanic White"	"6"	"2005"	"2005"	12	2385	5.03 (Unreliable)
	"Madison County, AL"	"01089"	"Non-Hispanic White"	"6"	"2006"	"2006"	25	2528	9.89
	"Madison County, AL"	"01089"	"Non-Hispanic Black"	"7"	"2003"	"2003"	17	985	17.26 (Unreliable)
	"Madison County, AL"	"01089"	"Non-Hispanic Black"	"7"	"2004"	"2004"	10	1050	9.52 (Unreliable)
	"Madison County, AL"	"01089"	"Non-Hispanic Black"	"7"	"2005"	"2005"	Suppressed	1037	Suppressed
	"Madison County, AL"	"01089"	"Non-Hispanic Black"	"7"	"2006"	"2006"	13	1091	11.92 (Unreliable)
	"Mobile County, AL"	"01097"	"Mexican"	"2148-5"	"2003"	"2003"	Suppressed	34	Suppressed
	"Mobile County, AL"	"01097"	"Mexican"	"2148-5"	"2004"	"2004"	Suppressed	43	Suppressed
	"Mobile County, AL"	"01097"	"Mexican"	"2148-5"	"2005"	"2005"	Suppressed	42	Suppressed
	"Mobile County, AL"	"01097"	"Mexican"	"2148-5"	"2006"	"2006"	Suppressed	62	Suppressed
	"Mobile County, AL"	"01097"	"Puerto Rican"	"2180-8"	"2003"	"2003"	Suppressed	Suppressed	Suppressed
	"Mobile County, AL"	"01097"	"Puerto Rican"	"2180-8"	"2004"	"2004"	Suppressed	Suppressed	Suppressed
	"Mobile County, AL"	"01097"	"Puerto Rican"	"2180-8"	"2005"	"2005"	Suppressed	Suppressed	Suppressed
	"Mobile County, AL"	"01097"	"Puerto Rican"	"2180-8"	"2006"	"2006"	Suppressed	Suppressed	Suppressed
	"Mobile County, AL"	"01097"	"Cuban"	"2182-4"	"2003"	"2003"	Suppressed	Suppressed	Suppressed
	"Mobile County, AL"	"01097"	"Cuban"	"2182-4"	"2004"	"2004"	Suppressed	Suppressed	Suppressed
	"Mobile County, AL"	"01097"	"Cuban"	"2182-4"	"2005"	"2005"	Suppressed	Suppressed	Suppressed
	"Mobile County, AL"	"01097"	"Cuban"	"2182-4"	"2006"	"2006"	Suppressed	Suppressed	Suppressed
	"Mobile County, AL"	"01097"	"Central or South American"	"4"	"2003"	"2003"	Suppressed	13	Suppressed
	"Mobile County, AL"	"01097"	"Central or South American"	"4"	"2004"	"2004"	Suppressed	29	Suppressed
	"Mobile County, AL"	"01097"	"Central or South American"	"4"	"2005"	"2005"	Suppressed	26	Suppressed
	"Mobile County, AL"	"01097"	"Central or South American"	"4"	"2006"	"2006"	Suppressed	41	Suppressed
	"Mobile County, AL"	"01097"	"Non-Hispanic White"	"6"	"2003"	"2003"	26	3291	7.90
	"Mobile County, AL"	"01097"	"Non-Hispanic White"	"6"	"2004"	"2004"	18	3161	5.69 (Unreliable)
