"Notes"	"State"	"State Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Year of Death"	"Year of Death Code"	Deaths	Births	Death Rate
	"Alabama"	"01"	"Mexican"	"2148-5"	"2003"	"2003"	13	2163	6.01 (Unreliable)
	"Alabama"	"01"	"Mexican"	"2148-5"	"2004"	"2004"	20	2504	7.99
	"Alabama"	"01"	"Mexican"	"2148-5"	"2005"	"2005"	19	2957	6.43 (Unreliable)
	"Alabama"	"01"	"Mexican"	"2148-5"	"2006"	"2006"	24	3453	6.95
	"Alabama"	"01"	"Puerto Rican"	"2180-8"	"2003"	"2003"	Suppressed	82	Suppressed
	"Alabama"	"01"	"Puerto Rican"	"2180-8"	"2004"	"2004"	Suppressed	103	Suppressed
	"Alabama"	"01"	"Puerto Rican"	"2180-8"	"2005"	"2005"	Suppressed	102	Suppressed
	"Alabama"	"01"	"Puerto Rican"	"2180-8"	"2006"	"2006"	Suppressed	119	Suppressed
	"Alabama"	"01"	"Cuban"	"2182-4"	"2003"	"2003"	Suppressed	20	Suppressed
	"Alabama"	"01"	"Cuban"	"2182-4"	"2004"	"2004"	Suppressed	22	Suppressed
	"Alabama"	"01"	"Cuban"	"2182-4"	"2005"	"2005"	Suppressed	21	Suppressed
	"Alabama"	"01"	"Cuban"	"2182-4"	"2006"	"2006"	Suppressed	30	Suppressed
	"Alabama"	"01"	"Central or South American"	"4"	"2003"	"2003"	Suppressed	231	Suppressed
	"Alabama"	"01"	"Central or South American"	"4"	"2004"	"2004"	Suppressed	339	Suppressed
	"Alabama"	"01"	"Central or South American"	"4"	"2005"	"2005"	Suppressed	596	Suppressed
	"Alabama"	"01"	"Central or South American"	"4"	"2006"	"2006"	Suppressed	990	Suppressed
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"2003"	"2003"	245	37996	6.45
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"2004"	"2004"	247	37209	6.64
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"2005"	"2005"	276	37302	7.40
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"2006"	"2006"	264	38118	6.93
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"2003"	"2003"	242	17887	13.53
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"2004"	"2004"	233	17972	12.96
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"2005"	"2005"	260	18057	14.40
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"2006"	"2006"	268	19333	13.86
	"Alaska"	"02"	"Mexican"	"2148-5"	"2003"	"2003"	Suppressed	286	Suppressed
	"Alaska"	"02"	"Mexican"	"2148-5"	"2004"	"2004"	Suppressed	327	Suppressed
	"Alaska"	"02"	"Mexican"	"2148-5"	"2005"	"2005"	Suppressed	360	Suppressed
	"Alaska"	"02"	"Mexican"	"2148-5"	"2006"	"2006"	Suppressed	400	Suppressed
	"Alaska"	"02"	"Puerto Rican"	"2180-8"	"2003"	"2003"	Suppressed	61	Suppressed
	"Alaska"	"02"	"Puerto Rican"	"2180-8"	"2004"	"2004"	Suppressed	72	Suppressed
	"Alaska"	"02"	"Puerto Rican"	"2180-8"	"2005"	"2005"	Suppressed	68	Suppressed
	"Alaska"	"02"	"Puerto Rican"	"2180-8"	"2006"	"2006"	Suppressed	74	Suppressed
	"Alaska"	"02"	"Cuban"	"2182-4"	"2003"	"2003"	Suppressed	12	Suppressed
	"Alaska"	"02"	"Cuban"	"2182-4"	"2004"	"2004"	Suppressed	10	Suppressed
	"Alaska"	"02"	"Cuban"	"2182-4"	"2005"	"2005"	Suppressed	11	Suppressed
	"Alaska"	"02"	"Cuban"	"2182-4"	"2006"	"2006"	Suppressed	12	Suppressed
	"Alaska"	"02"	"Central or South American"	"4"	"2003"	"2003"	Suppressed	80	Suppressed
	"Alaska"	"02"	"Central or South American"	"4"	"2004"	"2004"	Suppressed	62	Suppressed
	"Alaska"	"02"	"Central or South American"	"4"	"2005"	"2005"	Suppressed	54	Suppressed
	"Alaska"	"02"	"Central or South American"	"4"	"2006"	"2006"	Suppressed	77	Suppressed
	"Alaska"	"02"	"Non-Hispanic White"	"6"	"2003"	"2003"	28	4917	5.69
	"Alaska"	"02"	"Non-Hispanic White"	"6"	"2004"	"2004"	29	5130	5.65
