"Notes"	"State"	"State Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Year of Death"	"Year of Death Code"	Deaths	Births	Death Rate
	"Alabama"	"01"	"Mexican"	"2148-5"	"2007"	"2007"	23	3926	5.86
	"Alabama"	"01"	"Mexican"	"2148-5"	"2008"	"2008"	33	3700	8.92
	"Alabama"	"01"	"Mexican"	"2148-5"	"2009"	"2009"	18	3467	5.19 (Unreliable)
	"Alabama"	"01"	"Mexican"	"2148-5"	"2010"	"2010"	18	3184	5.65 (Unreliable)
	"Alabama"	"01"	"Mexican"	"2148-5"	"2011"	"2011"	14	2958	4.73 (Unreliable)
	"Alabama"	"01"	"Mexican"	"2148-5"	"2012"	"2012"	10	2549	3.92 (Unreliable)
	"Alabama"	"01"	"Mexican"	"2148-5"	"2013"	"2013"	13	2580	5.04 (Unreliable)
	"Alabama"	"01"	"Mexican"	"2148-5"	"2014"	"2014"	20	2585	7.74
	"Alabama"	"01"	"Mexican"	"2148-5"	"2015"	"2015"	18	2606	6.91 (Unreliable)
	"Alabama"	"01"	"Puerto Rican"	"2180-8"	"2007"	"2007"	Suppressed	128	Suppressed
	"Alabama"	"01"	"Puerto Rican"	"2180-8"	"2008"	"2008"	Suppressed	144	Suppressed
	"Alabama"	"01"	"Puerto Rican"	"2180-8"	"2009"	"2009"	Suppressed	162	Suppressed
	"Alabama"	"01"	"Puerto Rican"	"2180-8"	"2010"	"2010"	Suppressed	168	Suppressed
	"Alabama"	"01"	"Puerto Rican"	"2180-8"	"2011"	"2011"	Suppressed	178	Suppressed
	"Alabama"	"01"	"Puerto Rican"	"2180-8"	"2012"	"2012"	Suppressed	153	Suppressed
	"Alabama"	"01"	"Puerto Rican"	"2180-8"	"2013"	"2013"	Suppressed	173	Suppressed
	"Alabama"	"01"	"Puerto Rican"	"2180-8"	"2014"	"2014"	Suppressed	210	Suppressed
	"Alabama"	"01"	"Puerto Rican"	"2180-8"	"2015"	"2015"	Suppressed	239	Suppressed
	"Alabama"	"01"	"Cuban"	"2182-4"	"2007"	"2007"	Suppressed	25	Suppressed
	"Alabama"	"01"	"Cuban"	"2182-4"	"2008"	"2008"	Suppressed	26	Suppressed
	"Alabama"	"01"	"Cuban"	"2182-4"	"2009"	"2009"	Suppressed	34	Suppressed
	"Alabama"	"01"	"Cuban"	"2182-4"	"2010"	"2010"	Suppressed	38	Suppressed
	"Alabama"	"01"	"Cuban"	"2182-4"	"2011"	"2011"	Suppressed	41	Suppressed
	"Alabama"	"01"	"Cuban"	"2182-4"	"2012"	"2012"	Suppressed	37	Suppressed
	"Alabama"	"01"	"Cuban"	"2182-4"	"2013"	"2013"	Suppressed	48	Suppressed
	"Alabama"	"01"	"Cuban"	"2182-4"	"2014"	"2014"	Suppressed	39	Suppressed
	"Alabama"	"01"	"Cuban"	"2182-4"	"2015"	"2015"	Suppressed	51	Suppressed
	"Alabama"	"01"	"Central or South American"	"4"	"2007"	"2007"	Suppressed	1241	Suppressed
	"Alabama"	"01"	"Central or South American"	"4"	"2008"	"2008"	12	1350	8.89 (Unreliable)
	"Alabama"	"01"	"Central or South American"	"4"	"2009"	"2009"	12	1357	8.84 (Unreliable)
	"Alabama"	"01"	"Central or South American"	"4"	"2010"	"2010"	12	1374	8.73 (Unreliable)
	"Alabama"	"01"	"Central or South American"	"4"	"2011"	"2011"	Suppressed	1221	Suppressed
